Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Scott Perunovich,Boston,LD,78,5,39,44,-26,16,3,5,8,0,0,0,0,0,0,0,107,4.7,20,25,103,0,83,8,0,0,0,0,0,0,18:51,1:27,0:11,97,123,1,7.21,
Anthony Beauvillier,Chicago,LW/RW/C,82,20,23,43,-16,18,0,0,0,0,0,0,4,0,3,0,144,13.9,8,18,26,0,35,9,0,0,0,0,0,0,12:55,0:00,0:00,65,81,0,7.12,
Thomas Chabot,Ottawa,LD,82,13,30,43,23,10,2,8,10,0,0,0,2,0,2,0,219,5.9,33,25,260,0,132,5,0,0,0,0,0,0,22:24,2:02,1:11,111,88,2,7.63,
Noah Dobson,NY Islanders,RD/LD,82,8,35,43,6,12,2,7,9,0,0,0,0,0,0,0,136,5.9,26,37,103,0,126,6,0,0,0,0,0,0,20:38,1:29,1:00,106,100,0,7.29,
Tyler Toffoli,Vancouver,RW,74,20,22,42,15,6,0,0,0,0,0,0,1,0,5,0,213,9.4,13,12,80,0.00,59,3,0,0,0,0,0,0,15:06,0:15,0:28,72,57,1,7.26,
Jackie Gaudet,Nashville,LW,82,18,24,42,-59,0,0,2,2,0,0,0,0,0,1,0,153,11.8,16,16,13,0,97,0,0,0,0,0,0,0,14:08,0:16,0:00,50,109,2,6.88,
Cole Sillinger,Columbus,C,71,16,26,42,0,10,0,1,1,0,0,0,4,1,0,0,140,11.4,9,19,47,0.48,69,5,0,0,0,0,0,0,14:06,0:10,0:00,62,62,0,6.39,
Nikolai Prokhorkin,Washington,C,78,16,26,42,-14,28,0,0,0,0,0,0,2,0,3,0,171,9.4,6,8,17,0.48,21,9,0,1,0,0,0,0,12:33,0:00,0:00,65,79,0,6.59,
Drake Batherson,Ottawa,C,63,14,28,42,-9,8,2,5,7,0,0,0,2,0,3,0,129,10.9,11,8,15,0.44,26,4,0,0,0,0,0,0,14:16,0:46,0:00,47,56,2,6.68,
Robert Thomas,Winnipeg,RW/C,75,12,30,42,4,28,0,0,0,0,0,0,1,0,1,0,108,11.1,12,13,27,0,31,14,0,0,0,0,0,0,13:08,0:00,0:00,55,51,2,7.17,
Jack Rathbone,Chicago,LD/RD,72,8,34,42,16,16,0,4,4,1,0,1,0,0,0,0,150,5.3,11,27,38,0,52,8,0,0,0,0,0,0,19:32,1:08,0:02,116,100,1,7.46,
Matt Niskanen,Boston,RD/LD,82,8,34,42,11,18,0,1,1,0,1,1,1,0,3,0,98,8.2,13,32,177,0,99,9,0,0,0,0,0,0,18:17,0:15,0:38,107,96,2,7.27,
Cale Makar,St. Louis,RD/LD,86,7,35,42,-13,6,0,4,4,0,0,0,1,1,0,0,172,4.1,15,25,144,0,134,3,0,0,0,0,0,0,19:36,1:07,0:13,103,116,0,7.52,
Bode Wilde,NY Islanders,RD/LD,82,6,36,42,27,8,1,8,9,0,0,0,0,0,1,0,137,4.4,35,17,47,0,111,4,0,0,0,0,0,0,20:45,1:24,0:54,109,82,0,7.16,
Filip Hronek,Detroit,RD/LD,55,6,36,42,24,22,0,6,6,0,1,1,0,0,1,0,100,6.0,17,16,56,0,82,11,0,0,0,0,0,0,25:58,2:13,0:54,108,84,0,7.49,
Jamie Benn,Los Angeles,LW,78,18,23,41,-12,10,0,1,1,0,0,0,1,0,1,0,141,12.8,26,17,52,0.00,50,5,0,0,0,0,0,0,14:39,0:18,0:03,63,75,2,7.09,
Kaden Bohlsen,Edmonton,RW/C,82,18,23,41,-37,30,0,0,0,0,0,0,2,0,3,0,107,16.8,58,25,80,0,68,10,0,1,0,0,0,0,13:38,0:00,0:01,58,95,2,6.94,
KG Jacobsson,Montreal,C,82,17,24,41,-15,4,0,0,0,0,0,0,1,1,2,0,142,12.0,47,22,145,0.58,66,2,0,0,0,0,0,0,14:38,0:00,1:07,61,76,0,6.49,
Isac Lundeström,Chicago,C/LW,71,16,25,41,-8,2,0,0,0,0,0,0,1,1,3,0,129,12.4,8,7,31,0.53,30,1,0,0,0,0,0,0,13:31,0:00,0:00,60,68,0,6.83,
Matthew Struthers,Buffalo,C,82,15,26,41,-31,0,0,0,0,0,1,1,3,0,2,0,144,10.4,13,17,109,0.56,73,0,0,0,0,0,0,0,14:26,0:02,1:08,58,89,0,6.70,
Joni Akkila,Florida,C,71,14,27,41,-4,0,0,0,0,0,0,0,1,0,1,0,132,10.6,9,14,6,0.47,49,0,0,0,0,0,0,0,13:53,0:00,0:00,55,59,0,6.56,
Raphaël Kuster,Colorado,C,71,12,29,41,-10,4,0,3,3,0,0,0,2,0,1,0,101,11.9,10,12,39,0.43,49,2,0,0,0,0,0,0,14:21,0:17,0:01,54,64,0,6.23,
