Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Charles-Édouard D'Astous,Colorado,LD/RD,40,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,4,12,37,0,36,0,0,0,0,0,0,0,15:13,0:00,0:04,39,39,0,6.60,
Anton Lundell,Belleville,C/LW,4,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,11,36.4,2,2,1,0.36,4,0,0,0,0,0,0,0,16:00,0:00,0:49,5,3,0,7.00,
Trentyn Crane,Springfield,LW,8,2,3,5,0,0,0,0,0,0,0,0,1,0,0,0,20,10.0,1,1,0,0,1,0,0,0,0,0,0,0,19:39,1:00,0:00,9,9,0,6.50,
Mathias Laferrière,Laval,RW,8,2,3,5,-2,0,0,0,0,0,0,0,0,0,0,0,15,13.3,0,0,0,0,4,0,0,0,0,0,0,0,16:46,0:00,0:00,9,11,0,6.88,
Brad Morrison,Washington,C,15,2,3,5,-14,4,0,1,1,0,0,0,0,0,0,0,25,8.0,1,4,3,0.49,5,2,0,0,0,0,0,0,14:57,0:52,0:00,4,18,0,5.93,
Connor Hobbs,South Carolina,RD,36,1,4,5,-32,16,0,0,0,0,0,0,0,0,0,0,23,4.3,4,12,9,0,50,8,0,0,0,0,0,0,18:21,0:07,0:07,28,60,0,6.22,
Mavrik Bourque,Tampa Bay,RD/C/LD,15,0,5,5,3,12,0,0,0,0,0,0,0,0,0,0,21,0.0,2,3,5,0,9,6,0,0,0,0,0,0,15:12,0:54,0:12,15,12,0,6.80,
Landon Slaggert,Springfield,C,8,3,1,4,-3,0,0,0,0,0,0,0,1,0,1,0,8,37.5,0,2,1,0.50,6,0,0,0,0,0,0,0,13:14,0:00,0:00,4,7,0,6.25,
Ryder Rolston,St. Louis,RW/C,25,3,1,4,-20,2,0,0,0,0,0,0,0,0,0,0,44,6.8,2,5,0,0,8,1,0,0,0,0,0,0,12:48,0:00,0:00,4,24,0,6.36,
Marco Scandella,Dallas,LD,30,2,2,4,-11,18,0,0,0,0,0,0,1,0,1,0,13,15.4,26,16,46,0,37,9,0,0,0,0,0,0,15:19,0:00,1:34,24,35,0,6.47,
