Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Alex Galchenyuk,Pittsburgh,LW/C/RW,72,41,56,97,51,14,4,6,10,0,0,0,5,0,5,0,300,13.7,134,18,5,0.22,35,7,0,0,0,0,0,0,18:59,1:24,0:00,108,57,8,8.31,
Mikko Rantanen,Colorado,RW,78,40,57,97,54,6,7,10,17,0,0,0,6,3,7,0,307,13.0,103,9,64,0.00,36,3,0,0,0,0,0,0,16:56,3:07,0:27,102,48,14,8.44,
Nathan MacKinnon,Colorado,C,82,36,61,97,42,8,8,16,24,0,0,0,3,1,4,0,291,12.4,65,14,51,0.50,49,4,0,0,0,0,0,0,17:41,3:42,0:45,93,51,2,7.85,
Jonathan Drouin,Montreal,LW,75,44,51,95,39,2,6,9,15,0,0,0,12,1,7,0,286,15.4,57,9,12,0.21,52,1,0,0,0,0,0,0,16:45,3:07,0:20,96,57,14,8.32,
Steven Stamkos,Tampa Bay,C,79,44,51,95,44,26,8,8,16,0,0,0,8,1,6,0,250,17.6,100,9,26,0.55,60,13,0,0,0,0,0,0,17:27,2:59,1:18,104,60,8,7.90,
Tomás Hertl,San Jose,C/LW,78,41,54,95,28,10,13,10,23,1,0,1,9,2,5,0,255,16.1,88,14,60,0.58,44,5,0,0,0,0,0,0,17:26,2:29,1:05,97,69,11,7.79,
Phil Kessel,Arizona,RW,82,48,46,94,29,12,13,7,20,0,0,0,8,1,12,0,364,13.2,84,14,26,0.20,43,6,0,0,0,0,0,0,17:29,2:43,1:00,97,68,11,8.15,
Evgeni Malkin,Pittsburgh,C,81,32,62,94,42,39,2,1,3,0,0,0,5,1,6,0,185,17.3,163,16,67,0.46,51,7,1,1,0,1,0,0,21:24,1:13,0:57,115,73,1,7.32,
Jeff Skinner,Buffalo,LW,82,41,52,93,44,6,4,12,16,1,0,1,9,0,8,0,433,9.5,73,13,64,0.08,59,3,0,0,0,0,0,0,17:10,2:49,0:13,102,58,11,8.29,
Clayton Keller,Arizona,LW/RW/C,82,35,58,93,43,2,4,10,14,0,0,0,6,3,6,0,282,12.4,35,10,10,0.21,35,1,0,0,0,0,0,0,16:50,2:44,0:07,104,61,10,8.05,
Jonathan Toews,Chicago,C,82,36,55,91,49,2,11,11,22,0,0,0,4,1,3,0,224,16.1,66,13,100,0.67,37,1,0,0,0,0,0,0,18:14,3:23,0:43,105,56,6,7.78,
